R,G,B,Im_Positions,Labels
205.90285,207.5324,207.5324,0,1
136.700075,133.834725,133.834725,1,1
217.609075,214.3649,214.3649,2,1
130.995625,144.706175,144.706175,3,1
104.234425,109.250925,109.250925,4,1
190.3665,186.297925,186.297925,5,1
188.73995,184.3481,184.3481,6,1
182.767475,179.8997,179.8997,7,1
169.452675,168.6345,168.6345,8,1
158.63235,157.048,157.048,9,1
172.81785,169.8587,169.8587,10,1
176.729525,174.13765,174.13765,11,1
185.925425,182.711575,182.711575,12,1
194.97135,189.809275,189.809275,13,1
194.5563,190.74345,190.74345,14,1
92.4221,104.3268,104.3268,15,1
199.9832,195.658725,195.658725,16,1
191.25615,183.44685,183.44685,17,1
188.9024,180.49605,180.49605,18,1
187.649125,182.842575,182.842575,19,1
183.412975,178.97925,178.97925,20,1
164.7819,156.687825,156.687825,21,1
163.309775,166.82405,166.82405,22,-1
143.15435,151.1826,151.1826,23,1
139.20935,147.871425,147.871425,24,1
132.3402,144.68545,144.68545,25,1
76.7281,97.040325,97.040325,26,1
101.301825,118.0235,118.0235,27,1
103.082775,126.4011,126.4011,28,1
159.712325,176.3826,176.3826,29,1
202.238625,211.557325,211.557325,30,-1
165.1837,177.767325,177.767325,31,1
100.16705,121.65045,121.65045,32,1
83.60405,111.719925,111.719925,33,1
68.531475,98.67565,98.67565,34,1
52.028325,88.018425,88.018425,35,1
46.93205,84.76595,84.76595,36,1
71.5121,95.981125,95.981125,37,1
62.453,96.8457,96.8457,38,1
218.15455,219.11205,219.11205,39,-1
45.8475,51.912175,51.912175,40,-1
32.03305,38.66345,38.66345,41,-1
68.259875,80.4666,80.4666,42,-1
105.459025,124.260925,124.260925,43,-1
24.8194,31.194925,31.194925,44,-1
40.20055,46.34425,46.34425,45,-1
12.141225,14.4742,14.4742,46,-1
20.494725,28.211425,28.211425,47,-1
74.18295,99.955975,99.955975,48,1
17.337575,30.033825,30.033825,49,-1
16.1258,28.7942,28.7942,50,-1
21.240175,29.944825,29.944825,51,-1
36.68745,50.278825,50.278825,52,-1
32.250125,42.720175,42.720175,53,-1
36.979425,50.604,50.604,54,-1
34.594225,47.57265,47.57265,55,-1
30.719475,42.64805,42.64805,56,-1
145.199325,145.739425,145.739425,57,-1
192.585125,185.97665,185.97665,58,1
96.342475,116.90905,116.90905,59,1
151.2717,148.7966,148.7966,60,1
202.40705,197.4575,197.4575,61,1
200.356525,197.74605,197.74605,62,1
193.356,189.015475,189.015475,63,1
190.6555,186.13795,186.13795,64,1
189.300625,184.960825,184.960825,65,1
190.6079,186.220075,186.220075,66,1
191.202275,186.790225,186.790225,67,1
190.36165,186.725,186.725,68,1
188.219925,183.418,183.418,69,1
135.048075,140.55425,140.55425,70,1
181.03455,177.903,177.903,71,1
167.1011,165.64465,165.64465,72,1
158.8209,156.764275,156.764275,73,1
173.3826,170.636525,170.636525,74,1
179.152075,174.737,174.737,75,1
188.54585,184.7226,184.7226,76,1
193.521875,189.7991,189.7991,77,1
194.863075,191.1575,191.1575,78,1
199.5408,194.383125,194.383125,79,1
187.35495,178.268275,178.268275,80,1
161.9626,169.36,169.36,81,1
189.4864,180.898525,180.898525,82,1
188.58315,181.3372,181.3372,83,1
186.1613,178.9487,178.9487,84,1
169.493075,160.171825,160.171825,85,1
143.275325,148.07235,148.07235,86,1
123.899075,133.43245,133.43245,87,1
111.405725,125.188425,125.188425,88,1
